agency,source_type,latest_fy_day,latest_date,cumul_count,cumul_dollars,prior_year_count,prior_year_dollars,mean_count,mean_dollars
NIH,usaspending,171,2026-03-20,0,789192146.0,0,1045776848.7419355,0.0,1323849702.6730824
NSF,usaspending,170,2026-03-19,0,214406640.0,0,663491229.8709677,0.0,696080623.641577
DOE_SC,usaspending,168,2026-03-17,0,3052404.0,0,57798483.29225806,0.0,29739088.975483872
NASA_SCI,usaspending,171,2026-03-20,0,78517356.5,0,79457394.51935484,0.0,77297685.43089606
USDA_RD,usaspending,169,2026-03-18,0,179662926.63,0,112509665.57548389,0.0,120962170.5754122
