agency,display_name,period_month,period_label,current_pct,prior_year_pct,yoy_diff,mean_prior_pct
DOE_SC,DOE (SC + ARPA-E),2,Nov,23.12615961546512,16.970155529717516,6.156004085747604,13.213625081508907
DOE_SC,DOE (SC + ARPA-E),3,Dec,28.087041588953483,28.959202675593215,-0.872161086639732,19.583296790374707
DOE_SC,DOE (SC + ARPA-E),4,Jan,29.69254229813954,50.28419164112994,-20.591649342990397,30.770456617136862
DOE_SC,DOE (SC + ARPA-E),5,Feb,34.577594869651165,52.56875620564971,-17.991161335998548,38.01545939818014
NASA_SCI,NASA (Science),2,Nov,7.056574276275862,13.835810991519185,-6.779236715243323,10.7266487457582
NASA_SCI,NASA (Science),3,Dec,13.60148472551724,19.89030562856208,-6.288820903044838,17.31258970470327
NASA_SCI,NASA (Science),4,Jan,19.785088337931032,29.00921249311445,-9.224124155183418,24.24200931748167
NASA_SCI,NASA (Science),5,Feb,25.826274200551723,35.20435025824221,-9.378076057690485,34.61795938359021
NIH,NIH (Institutes + OD),2,Nov,3.77098814312479,7.608378526635666,-3.837390383510876,7.043454342055503
NIH,NIH (Institutes + OD),3,Dec,7.929246524700802,12.370531891932792,-4.44128536723199,11.85788726247487
NIH,NIH (Institutes + OD),4,Jan,13.829933187027251,18.60774389592589,-4.777810708898638,16.98956621313875
NIH,NIH (Institutes + OD),5,Feb,19.387286347010622,22.373888691309944,-2.986602344299321,23.15739926934833
NSF,NSF (R&RA + EDU),2,Nov,0.10492327416124958,2.3703684905072766,-2.265445216346027,2.9773062830199155
NSF,NSF (R&RA + EDU),3,Dec,2.7130645321174405,7.504044967479189,-4.790980435361748,6.3143775272863465
NSF,NSF (R&RA + EDU),4,Jan,4.2744969819156475,9.56565676492783,-5.291159783012183,9.905900973798282
NSF,NSF (R&RA + EDU),5,Feb,5.9028616799038796,14.549473181170272,-8.646611501266392,13.993946236262193
USDA_RD,USDA (ARS + NIFA),2,Nov,5.647484232367855,9.105497206613544,-3.4580129742456887,9.102645792930373
USDA_RD,USDA (ARS + NIFA),3,Dec,11.408869546821709,17.66319048097596,-6.254320934154251,15.013509683180617
USDA_RD,USDA (ARS + NIFA),4,Jan,22.682424947404563,23.808768202097113,-1.12634325469255,21.119298591820215
USDA_RD,USDA (ARS + NIFA),5,Feb,31.330110026454967,27.532590497426877,3.79751952902809,28.502036588249133
